"dep_airport","arr_airport","month","day_date","day_week","hour","duration","delay"
376001,250002,8,23,3,6,300,1
376001,250002,8,23,3,6,300,1
376001,276002,8,23,3,6,260,0
376001,840009,8,23,3,6,710,0
376001,203001,8,23,3,7,240,0
376001,826002,8,23,3,7,320,0
376001,250003,8,23,3,7,300,0
376001,826002,8,23,3,7,325,0
376001,826002,8,23,3,7,320,0
376001,826002,8,23,3,7,325,0
376001,826002,8,23,3,7,325,0
376001,276007,8,23,3,7,240,0
376001,276007,8,23,3,7,240,0
376001,276007,8,23,3,7,240,0
376001,380004,8,23,3,7,250,0
376001,380004,8,23,3,7,250,0
376001,250002,8,23,3,7,285,1
376001,250002,8,23,3,7,285,1
376001,380004,8,23,3,7,250,0
376001,250002,8,23,3,7,285,1
376001,756003,8,23,3,8,260,1
376001,756003,8,23,3,8,260,1
376001,643002,8,23,3,8,345,0
376001,276004,8,23,3,8,270,1
376001,276004,8,23,3,8,270,1
376001,643002,8,23,3,8,345,0
376001,276004,8,23,3,8,270,1
376001,250002,8,23,3,9,290,0
376001,498001,8,23,3,9,165,0
376001,642001,8,23,3,9,170,1
376001,300011,8,23,3,10,100,0
376001,250002,8,23,3,9,290,0
376001,792003,8,23,3,10,95,0
376001,826002,8,23,3,10,325,1
376001,300009,8,23,3,10,110,0
376001,826002,8,23,3,10,325,1
380004,376001,8,23,3,5,235,1
376001,826002,8,23,3,10,325,1
616003,376001,8,23,3,5,205,2
792003,376001,8,23,3,8,90,1
40001,376001,8,23,3,6,200,2
40001,376001,8,23,3,6,200,1
40001,376001,8,23,3,6,200,1
348001,376001,8,23,3,6,195,0
124001,376001,8,22,2,18,605,2
840004,376001,8,22,2,11,835,0
124001,376001,8,22,2,18,605,2
31001,376001,8,23,3,8,205,0
840004,376001,8,22,2,11,835,0
250008,376001,8,23,3,7,225,0
348001,376001,8,23,3,7,200,1
756001,376001,8,23,3,7,245,1
784002,376001,8,23,3,9,210,0
784002,376001,8,23,3,9,210,0
348001,376001,8,23,3,7,200,1
784001,376001,8,23,3,10,205,0
380004,376001,8,23,3,7,235,1
784001,376001,8,23,3,10,205,0
840009,376001,8,22,2,21,625,0
724001,376001,8,23,3,8,275,0
724001,376001,8,23,3,8,275,0
250002,376001,8,23,3,9,255,0
250002,376001,8,23,3,9,255,0
840007,376001,8,22,2,19,845,0
250002,376001,8,23,3,9,255,0

124001,376001,8,22,2,18,605,2
196001,376001,8,23,3,10,60,0
124001,376001,8,22,2,18,605,2
196001,376001,8,23,3,12,65,0
100003,376001,8,23,3,11,135,0
196001,376001,8,23,3,10,60,0
300011,376001,8,23,3,12,100,1
705001,376001,8,23,3,9,190,1
705001,376001,8,23,3,9,190,1
792003,376001,8,23,3,12,95,0
380006,376001,8,23,3,9,200,0
380006,376001,8,23,3,9,200,0
380006,376001,8,23,3,9,200,0
724001,376001,8,23,3,8,275,0
348001,376001,8,23,3,10,190,0
380006,376001,8,23,3,10,205,0
724001,376001,8,23,3,8,275,0
840009,376001,8,22,2,21,625,0
250002,376001,8,23,3,9,255,0
380006,376001,8,23,3,10,205,0
250002,376001,8,23,3,9,255,0
250002,376001,8,23,3,9,255,0
40001,376001,8,23,3,10,205,1
48001,376001,8,23,3,12,170,0
56001,376001,8,23,3,9,270,1
40001,376001,8,23,3,10,205,2
276004,376001,8,23,3,10,245,1
276004,376001,8,23,3,10,245,1
276004,376001,8,23,3,10,245,1
276004,376001,8,23,3,10,245,1
250008,376001,8,23,3,11,225,1
724002,376001,8,23,3,10,250,0
276004,376001,8,23,3,10,245,1
203001,376001,8,23,3,11,225,0
724002,376001,8,23,3,10,250,0
724002,376001,8,23,3,10,250,0
250003,376001,8,23,3,10,285,0
756001,376001,8,23,3,11,245,1
276002,376001,8,23,3,10,245,1
276007,376001,8,23,3,11,220,0
250002,376001,8,23,3,11,265,1
250002,376001,8,23,3,11,265,1
276007,376001,8,23,3,11,220,0
276007,376001,8,23,3,11,220,0
724001,376001,8,23,3,11,280,0
724001,376001,8,23,3,11,280,0
528001,376001,8,23,3,11,270,0
724001,376001,8,23,3,11,280,0
724001,376001,8,23,3,11,280,0
724001,376001,8,23,3,11,280,0
250002,376001,8,23,3,11,285,0
528001,376001,8,23,3,11,270,0
840007,376001,8,22,2,19,845,0
250003,376001,8,23,3,11,285,1
250002,376001,8,23,3,11,285,0
764001,376001,8,23,3,16,655,0
764001,376001,8,23,3,16,655,0
764001,376001,8,23,3,16,655,0
376001,250002,8,23,3,7,285,1
764001,376001,8,23,3,16,655,0
376001,643002,8,23,3,8,345,0
376001,250002,8,23,3,7,285,1
376001,643002,8,23,3,8,345,0
376001,250002,8,23,3,7,285,1
376001,250002,8,23,3,9,290,0
376001,826002,8,23,3,10,325,0
376001,250002,8,23,3,9,290,0
376001,826002,8,23,3,10,325,0
376001,642002,8,23,3,10,195,1
376001,124002,8,23,3,11,705,0
376001,380006,8,23,3,11,240,0
376001,784002,8,23,3,11,200,0
376001,826002,8,23,3,10,325,0
376001,784002,8,23,3,11,200,0
376001,616007,8,23,3,11,245,0
376001,616007,8,23,3,11,245,0
376001,792004,8,23,3,11,135,0
376001,124002,8,23,3,11,700,0
376001,792003,8,23,3,11,90,2
376001,124002,8,23,3,11,700,0
376001,40001,8,23,3,11,230,2
376001,40001,8,23,3,11,230,2
376001,643002,8,23,3,11,345,1
376001,643002,8,23,3,11,345,1
376001,300001,8,23,3,12,130,0
376001,31001,8,23,3,11,185,0
